video,sigma_test,jepa_error,sbit_oracle_error,sbit_mean_error,diversity,cloud_mean_bias_vs_truth,cloud_mean_bias_vs_jepa,win
0,0.001,0.8350255489349365,1.2127052545547485,1.216208815574646,0.006929932162165642,1.2161993980407715,0.7818261981010437,0.0
0,0.05,0.8350255489349365,1.1192147731781006,1.2434487342834473,0.31543445587158203,1.2239185571670532,0.7877105474472046,0.0
0,0.1,0.8350255489349365,0.967714250087738,1.2833218574523926,0.5568771362304688,1.2239044904708862,0.7885103225708008,0.0
0,0.15,0.8350255489349365,0.9172430634498596,1.3055965900421143,0.7096140384674072,1.2082966566085815,0.7813584804534912,0.0
0,0.2,0.8350255489349365,0.9204077124595642,1.3590657711029053,0.9379853010177612,1.1861335039138794,0.7753720879554749,0.0
0,0.32,0.8350255489349365,0.8900468349456787,1.4711837768554688,1.291365385055542,1.1349081993103027,0.7513591647148132,0.0
0,0.5,0.8350255489349365,0.9515630602836609,1.622969627380371,1.5964407920837402,1.1692631244659424,0.8857872486114502,0.0
0,0.8,0.8350255489349365,0.9794116020202637,1.7612451314926147,1.6697074174880981,1.3148342370986938,1.0860564708709717,0.0
1,0.001,0.708577036857605,0.9321637153625488,0.93381667137146,0.007024411577731371,0.9338035583496094,0.6120400428771973,0.0
1,0.05,0.708577036857605,0.8711107969284058,0.9603062272071838,0.31915318965911865,0.9333639740943909,0.6336291432380676,0.0
1,0.1,0.708577036857605,0.8624458312988281,1.0250457525253296,0.5708979964256287,0.9415645599365234,0.6513064503669739,0.0
1,0.15,0.708577036857605,0.8675407767295837,1.1012977361679077,0.7685723900794983,0.9571160078048706,0.670044481754303,0.0
1,0.2,0.708577036857605,0.7964329123497009,1.191260814666748,0.9566224217414856,0.9676650762557983,0.6343722939491272,0.0
1,0.32,0.708577036857605,0.8511629700660706,1.3502197265625,1.2935279607772827,0.975014328956604,0.6799145936965942,0.0
1,0.5,0.708577036857605,0.973345160484314,1.5974035263061523,1.7058161497116089,1.0287971496582031,0.6987581849098206,0.0
1,0.8,0.708577036857605,1.0744050741195679,1.7248941659927368,1.7070518732070923,1.2380908727645874,0.9744570255279541,0.0
2,0.001,0.6213932633399963,1.0174496173858643,1.0193679332733154,0.006722711026668549,1.0193572044372559,0.8999350666999817,0.0
2,0.05,0.6213932633399963,0.900356650352478,1.0028164386749268,0.30938825011253357,0.9789499044418335,0.8574987053871155,0.0
2,0.1,0.6213932633399963,0.7934154868125916,1.0483125448226929,0.5297883749008179,0.9813033938407898,0.8620533347129822,0.0
2,0.15,0.6213932633399963,0.779344916343689,1.0948617458343506,0.6840370297431946,0.9842217564582825,0.8745318055152893,0.0
2,0.2,0.6213932633399963,0.761275589466095,1.1292610168457031,0.844984233379364,0.9627020955085754,0.8514803647994995,0.0
2,0.32,0.6213932633399963,0.854187548160553,1.3911465406417847,1.2545956373214722,1.074124813079834,0.9840213060379028,0.0
2,0.5,0.6213932633399963,0.7918760776519775,1.6255624294281006,1.5465376377105713,1.2207852602005005,1.137540578842163,0.0
2,0.8,0.6213932633399963,1.0233888626098633,1.8722317218780518,1.6746065616607666,1.480405330657959,1.412276268005371,0.0
3,0.001,0.7781795263290405,0.7942323684692383,0.7965161204338074,0.007887465879321098,0.796496570110321,0.6257873773574829,0.0
3,0.05,0.7781795263290405,0.7304075360298157,0.8719063997268677,0.36162400245666504,0.8343055248260498,0.6475181579589844,1.0
3,0.1,0.7781795263290405,0.7091790437698364,0.9883832335472107,0.662295401096344,0.8756189942359924,0.682422935962677,1.0
3,0.15,0.7781795263290405,0.7726102471351624,1.0512642860412598,0.8638530969619751,0.861958384513855,0.6776161193847656,1.0
3,0.2,0.7781795263290405,0.7335071563720703,1.0906023979187012,0.9776226282119751,0.8461492657661438,0.6607879996299744,1.0
3,0.32,0.7781795263290405,0.766593873500824,1.2887208461761475,1.36093008518219,0.873221755027771,0.664634644985199,1.0
3,0.5,0.7781795263290405,0.8579984307289124,1.6319580078125,1.9049081802368164,0.9629953503608704,0.7655856013298035,0.0
3,0.8,0.7781795263290405,0.9291152358055115,1.6927170753479004,1.9153395891189575,1.0236117839813232,0.8619662523269653,0.0
4,0.001,0.8212336301803589,1.3828036785125732,1.3855732679367065,0.006814840715378523,1.3855652809143066,1.1359246969223022,0.0
4,0.05,0.8212336301803589,1.2998234033584595,1.4440821409225464,0.3190930187702179,1.4270888566970825,1.1659331321716309,0.0
4,0.1,0.8212336301803589,1.228399634361267,1.4989725351333618,0.5304112434387207,1.4536716938018799,1.1826130151748657,0.0
4,0.15,0.8212336301803589,1.1291694641113281,1.5318289995193481,0.7391084432601929,1.4431825876235962,1.1648508310317993,0.0
4,0.2,0.8212336301803589,1.0355435609817505,1.5403155088424683,0.8980270028114319,1.408371090888977,1.142292857170105,0.0
4,0.32,0.8212336301803589,0.9822133183479309,1.5892608165740967,1.2068320512771606,1.3340201377868652,1.0246233940124512,0.0
4,0.5,0.8212336301803589,0.9013037085533142,1.648668885231018,1.644247055053711,1.1503154039382935,0.8588039875030518,0.0
4,0.8,0.8212336301803589,0.9754990339279175,1.597738265991211,1.6466478109359741,1.0820844173431396,0.6735877394676208,0.0
5,0.001,0.6768088936805725,1.2368924617767334,1.239048957824707,0.0066535696387290955,1.239040493965149,0.9774444103240967,0.0
5,0.05,0.6768088936805725,1.143349051475525,1.3044058084487915,0.30555346608161926,1.287216305732727,1.0373297929763794,0.0
5,0.1,0.6768088936805725,1.0507608652114868,1.3543586730957031,0.5348442196846008,1.3034700155258179,1.0554989576339722,0.0
5,0.15,0.6768088936805725,1.0314998626708984,1.4414587020874023,0.7185924649238586,1.3549233675003052,1.1178908348083496,0.0
5,0.2,0.6768088936805725,0.8756493926048279,1.4789550304412842,0.9480845332145691,1.3280459642410278,1.0828944444656372,0.0
5,0.32,0.6768088936805725,0.9897903800010681,1.675134539604187,1.3340301513671875,1.3827544450759888,1.1410512924194336,0.0
5,0.5,0.6768088936805725,1.068848729133606,1.8577330112457275,1.666053056716919,1.4351831674575806,1.1845566034317017,0.0
5,0.8,0.6768088936805725,1.1670255661010742,2.040200710296631,1.7440954446792603,1.6355557441711426,1.4155148267745972,0.0
6,0.001,0.5451616048812866,0.698474109172821,0.700002133846283,0.006477049086242914,0.6999871134757996,0.5606398582458496,0.0
6,0.05,0.5451616048812866,0.6353214383125305,0.7072432637214661,0.28555718064308167,0.6778842806816101,0.5399763584136963,0.0
6,0.1,0.5451616048812866,0.5437400937080383,0.7534355521202087,0.5054612159729004,0.6633678078651428,0.5221147537231445,1.0
6,0.15,0.5451616048812866,0.5434587597846985,0.796798050403595,0.7027438879013062,0.6219729781150818,0.47789573669433594,1.0
6,0.2,0.5451616048812866,0.518072783946991,0.8433389067649841,0.8199042677879333,0.6104621887207031,0.47112300992012024,1.0
6,0.32,0.5451616048812866,0.5430253744125366,1.04392409324646,1.235053539276123,0.5570085644721985,0.3878784477710724,1.0
6,0.5,0.5451616048812866,0.6001537442207336,1.304931640625,1.5662297010421753,0.7054870128631592,0.5580271482467651,0.0
6,0.8,0.5451616048812866,0.7115643620491028,1.478320837020874,1.660952091217041,0.9257179498672485,0.7819012999534607,0.0
7,0.001,1.4645308256149292,1.3016530275344849,1.3033201694488525,0.007274300791323185,1.3033100366592407,0.9777047634124756,1.0
7,0.05,1.4645308256149292,1.2253414392471313,1.314447283744812,0.33951297402381897,1.2923617362976074,0.9696537256240845,1.0
7,0.1,1.4645308256149292,1.142990231513977,1.3399206399917603,0.6167492866516113,1.2661311626434326,0.9898879528045654,1.0
7,0.15,1.4645308256149292,1.0644744634628296,1.3613839149475098,0.8120653629302979,1.2327117919921875,0.9896160364151001,1.0
7,0.2,1.4645308256149292,1.0242762565612793,1.3948757648468018,0.9826443791389465,1.2059215307235718,0.9976851344108582,1.0
7,0.32,1.4645308256149292,0.9611105918884277,1.5548638105392456,1.475293755531311,1.1408523321151733,1.0398141145706177,1.0
7,0.5,1.4645308256149292,1.0433135032653809,1.617069959640503,1.806658148765564,0.9666897654533386,1.2568488121032715,1.0
7,0.8,1.4645308256149292,1.0121688842773438,1.651391863822937,1.8843343257904053,0.9468095302581787,1.3484117984771729,1.0
8,0.001,0.7395198345184326,1.4064782857894897,1.4089404344558716,0.0071626692079007626,1.4089317321777344,1.201846957206726,0.0
8,0.05,0.7395198345184326,1.2716492414474487,1.4282430410385132,0.3262951672077179,1.4104067087173462,1.2110730409622192,0.0
8,0.1,0.7395198345184326,1.157785415649414,1.4555675983428955,0.5954686403274536,1.3974840641021729,1.2015985250473022,0.0
8,0.15,0.7395198345184326,1.0502610206604004,1.4754959344863892,0.7548432350158691,1.383255958557129,1.2000967264175415,0.0
8,0.2,0.7395198345184326,1.0472304821014404,1.492209792137146,0.9393522143363953,1.3411093950271606,1.1574920415878296,0.0
8,0.32,0.7395198345184326,1.071657419204712,1.621745228767395,1.2070480585098267,1.3809093236923218,1.1908011436462402,0.0
8,0.5,0.7395198345184326,0.9768995046615601,1.808990716934204,1.5908949375152588,1.4239357709884644,1.2124160528182983,0.0
8,0.8,0.7395198345184326,1.098971962928772,1.9353078603744507,1.707287073135376,1.5264123678207397,1.31023371219635,0.0
9,0.001,0.9044365286827087,1.1673704385757446,1.1707913875579834,0.006990827154368162,1.1707812547683716,1.0447561740875244,0.0
9,0.05,0.9044365286827087,0.9592059254646301,1.1306171417236328,0.3292994797229767,1.107431173324585,0.9681124091148376,0.0
9,0.1,0.9044365286827087,0.8676696419715881,1.1585149765014648,0.5989301800727844,1.083164930343628,0.9304052591323853,1.0
9,0.15,0.9044365286827087,0.7731682062149048,1.2029873132705688,0.7784271836280823,1.0790235996246338,0.9719786643981934,1.0
9,0.2,0.9044365286827087,0.7424789071083069,1.1779353618621826,0.9251902103424072,0.9873964190483093,0.853320300579071,1.0
9,0.32,0.9044365286827087,0.7828792929649353,1.3468449115753174,1.3554234504699707,0.9632290601730347,0.8845422267913818,1.0
9,0.5,0.9044365286827087,0.8663055300712585,1.4971716403961182,1.6122976541519165,0.9867455363273621,1.0503160953521729,1.0
9,0.8,0.9044365286827087,1.0005278587341309,1.6719727516174316,1.835492491722107,1.0561734437942505,1.0968339443206787,0.0
10,0.001,0.7618498802185059,1.103253722190857,1.1052428483963013,0.006505877710878849,1.1052331924438477,0.6405705213546753,0.0
10,0.05,0.7618498802185059,1.0159817934036255,1.14408278465271,0.2925202548503876,1.1256732940673828,0.6942450404167175,0.0
10,0.1,0.7618498802185059,0.965727686882019,1.2038651704788208,0.534733772277832,1.1447113752365112,0.7218878865242004,0.0
10,0.15,0.7618498802185059,0.919234573841095,1.258353352546692,0.6770299673080444,1.1663177013397217,0.7499733567237854,0.0
10,0.2,0.7618498802185059,0.8610895276069641,1.2950454950332642,0.812975287437439,1.1597959995269775,0.7314144968986511,0.0
10,0.32,0.7618498802185059,0.6611000895500183,1.4416872262954712,1.179892897605896,1.1719191074371338,0.709304928779602,1.0
10,0.5,0.7618498802185059,0.7239848375320435,1.581848382949829,1.4739927053451538,1.187328577041626,0.7178662419319153,1.0
10,0.8,0.7618498802185059,1.0462006330490112,1.770004391670227,1.6889441013336182,1.3054429292678833,0.8618382215499878,0.0
11,0.001,0.6401386260986328,1.286787509918213,1.289618968963623,0.00693457992747426,1.2896101474761963,1.0546646118164062,0.0
11,0.05,0.6401386260986328,1.137455701828003,1.2903872728347778,0.3200032711029053,1.2715204954147339,1.043912410736084,0.0
11,0.1,0.6401386260986328,0.9904297590255737,1.3419173955917358,0.5615012645721436,1.2850821018218994,1.0596874952316284,0.0
11,0.15,0.6401386260986328,0.9524412751197815,1.3463690280914307,0.7149549722671509,1.2553651332855225,1.0312466621398926,0.0
11,0.2,0.6401386260986328,0.9246912002563477,1.428375244140625,0.8600786924362183,1.2984145879745483,1.072562336921692,0.0
11,0.32,0.6401386260986328,0.7109755873680115,1.6430729627609253,1.2972807884216309,1.3716349601745605,1.1407597064971924,0.0
11,0.5,0.6401386260986328,0.8952350616455078,1.9361724853515625,1.6244083642959595,1.5696470737457275,1.3225947618484497,0.0
11,0.8,0.6401386260986328,1.0314182043075562,2.1758334636688232,1.7214096784591675,1.822317361831665,1.5547730922698975,0.0
12,0.001,0.6991956233978271,1.260228157043457,1.2645273208618164,0.007051525637507439,1.2645176649093628,0.9594804644584656,0.0
12,0.05,0.6991956233978271,1.181939959526062,1.2907521724700928,0.3222973048686981,1.270684838294983,0.9681200385093689,0.0
12,0.1,0.6991956233978271,1.1129273176193237,1.3521733283996582,0.5727912187576294,1.2912014722824097,0.9825707674026489,0.0
12,0.15,0.6991956233978271,1.0332145690917969,1.3989205360412598,0.7196136116981506,1.3068771362304688,1.0056779384613037,0.0
12,0.2,0.6991956233978271,0.9476431012153625,1.4359617233276367,0.902668833732605,1.2848924398422241,0.9852625727653503,0.0
12,0.32,0.6991956233978271,0.974586009979248,1.5767425298690796,1.3268275260925293,1.2652655839920044,0.9978752136230469,0.0
12,0.5,0.6991956233978271,0.9953125715255737,1.7227212190628052,1.7474035024642944,1.2053626775741577,0.9959676265716553,0.0
12,0.8,0.6991956233978271,0.8388340473175049,1.8097643852233887,1.9422886371612549,1.1765886545181274,0.9910280704498291,0.0
13,0.001,0.9193717837333679,1.4313603639602661,1.4349018335342407,0.0079065365716815,1.4348913431167603,1.2019122838974,0.0
13,0.05,0.9193717837333679,1.30265212059021,1.4415680170059204,0.3699820339679718,1.4189453125,1.1429953575134277,0.0
13,0.1,0.9193717837333679,1.160627007484436,1.4700872898101807,0.6483782529830933,1.4006463289260864,1.1061533689498901,0.0
13,0.15,0.9193717837333679,1.096639633178711,1.518889307975769,0.8197289109230042,1.4102485179901123,1.108336091041565,0.0
13,0.2,0.9193717837333679,0.9852482080459595,1.5967614650726318,0.92267245054245,1.4698824882507324,1.19081711769104,0.0
13,0.32,0.9193717837333679,0.9680227041244507,1.8452816009521484,1.3024787902832031,1.621181845664978,1.3874801397323608,0.0
13,0.5,0.9193717837333679,0.9934316873550415,2.0799453258514404,1.5399091243743896,1.8029353618621826,1.6002975702285767,0.0
13,0.8,0.9193717837333679,1.3207712173461914,2.230558395385742,1.6747426986694336,1.9084830284118652,1.7301441431045532,0.0
14,0.001,1.1926854848861694,1.8194866180419922,1.821776270866394,0.006955650169402361,1.8217697143554688,1.324243426322937,0.0
14,0.05,1.1926854848861694,1.7073554992675781,1.8906642198562622,0.3200937509536743,1.877519965171814,1.3904165029525757,0.0
14,0.1,1.1926854848861694,1.6575440168380737,1.9650301933288574,0.585229218006134,1.9225516319274902,1.4515306949615479,0.0
14,0.15,1.1926854848861694,1.5630357265472412,2.022886276245117,0.7706873416900635,1.9503881931304932,1.4830832481384277,0.0
14,0.2,1.1926854848861694,1.573021411895752,2.034223794937134,0.9024150371551514,1.9331823587417603,1.4501043558120728,0.0
14,0.32,1.1926854848861694,1.572994351387024,2.2102043628692627,1.2345941066741943,2.030367374420166,1.5661165714263916,0.0
14,0.5,1.1926854848861694,1.2645148038864136,2.152862310409546,1.5271728038787842,1.8629956245422363,1.3645391464233398,0.0
14,0.8,1.1926854848861694,1.428134799003601,2.1108477115631104,1.6527929306030273,1.7550145387649536,1.281701922416687,0.0
15,0.001,1.5126408338546753,1.3789724111557007,1.3820223808288574,0.007498837076127529,1.3820123672485352,0.35037145018577576,1.0
15,0.05,1.5126408338546753,1.297911286354065,1.4412198066711426,0.353380411863327,1.420531988143921,0.3318389654159546,1.0
15,0.1,1.5126408338546753,1.1149064302444458,1.4897371530532837,0.6466075778007507,1.4217766523361206,0.34112292528152466,1.0
15,0.15,1.5126408338546753,1.1526832580566406,1.5671173334121704,0.84049391746521,1.4583443403244019,0.34300142526626587,1.0
15,0.2,1.5126408338546753,1.1139302253723145,1.5829524993896484,1.0048779249191284,1.420770525932312,0.3581957221031189,1.0
15,0.32,1.5126408338546753,0.9619550108909607,1.6562635898590088,1.4499813318252563,1.3090312480926514,0.4583570659160614,1.0
15,0.5,1.5126408338546753,0.9991690516471863,1.8283910751342773,1.8191089630126953,1.3027702569961548,0.6522876620292664,1.0
15,0.8,1.5126408338546753,1.144431710243225,1.9716161489486694,1.9195022583007812,1.433727741241455,0.9771907329559326,1.0
16,0.001,0.9620797038078308,1.067155122756958,1.0688045024871826,0.007271746639162302,1.068792462348938,0.7391570210456848,0.0
16,0.05,0.9620797038078308,1.0197248458862305,1.0863287448883057,0.3332502841949463,1.0602240562438965,0.7066321969032288,0.0
16,0.1,0.9620797038078308,0.9855881929397583,1.1347767114639282,0.5858295559883118,1.0549261569976807,0.6789341568946838,0.0
16,0.15,0.9620797038078308,0.9303627610206604,1.2128387689590454,0.7907175421714783,1.070837378501892,0.704338788986206,1.0
16,0.2,0.9620797038078308,0.9166892170906067,1.2163859605789185,0.922352135181427,1.0169215202331543,0.7088986039161682,1.0
16,0.32,0.9620797038078308,0.9861739277839661,1.386881947517395,1.3512427806854248,0.9882509112358093,0.7880653142929077,0.0
16,0.5,0.9620797038078308,0.9503374695777893,1.5400477647781372,1.6824018955230713,0.9511337280273438,0.9132739901542664,1.0
16,0.8,0.9620797038078308,0.9531549215316772,1.6247828006744385,1.8878378868103027,0.8984550833702087,0.8349514603614807,1.0
17,0.001,0.6485421657562256,0.8047389984130859,0.8070287704467773,0.007015435490757227,0.8070136904716492,0.8547919392585754,0.0
17,0.05,0.6485421657562256,0.7386977076530457,0.8313839435577393,0.3237994313240051,0.7992391586303711,0.8398827910423279,0.0
17,0.1,0.6485421657562256,0.7499117851257324,0.9300475716590881,0.57501220703125,0.8366667628288269,0.8718327283859253,0.0
17,0.15,0.6485421657562256,0.7451928853988647,1.0384994745254517,0.7779859304428101,0.8776780366897583,0.9214285612106323,0.0
17,0.2,0.6485421657562256,0.7151132225990295,1.1323679685592651,0.9076554179191589,0.9324861168861389,0.9836304187774658,0.0
17,0.32,0.6485421657562256,0.8407266736030579,1.4836900234222412,1.4365251064300537,1.0684071779251099,1.119339942932129,0.0
17,0.5,0.6485421657562256,0.9398735761642456,1.736544132232666,1.6069661378860474,1.33689546585083,1.4117050170898438,0.0
17,0.8,0.6485421657562256,1.020779013633728,2.001180410385132,1.9444968700408936,1.473708987236023,1.5571542978286743,0.0
18,0.001,0.6789218187332153,1.2063713073730469,1.2089581489562988,0.006605744827538729,1.2089492082595825,0.8427479863166809,0.0
18,0.05,0.6789218187332153,1.0664119720458984,1.2055261135101318,0.3189341723918915,1.1850676536560059,0.8414337635040283,0.0
18,0.1,0.6789218187332153,0.9266441464424133,1.2492517232894897,0.5639649033546448,1.1880322694778442,0.8368073105812073,0.0
18,0.15,0.6789218187332153,0.922072172164917,1.2753496170043945,0.7443391680717468,1.1668835878372192,0.8089063167572021,0.0
18,0.2,0.6789218187332153,0.8364617824554443,1.3318694829940796,0.9102800488471985,1.1764776706695557,0.8341888785362244,0.0
18,0.32,0.6789218187332153,0.7542768120765686,1.5294039249420166,1.3607507944107056,1.1901512145996094,0.804055392742157,0.0
18,0.5,0.6789218187332153,0.7681481838226318,1.7835090160369873,1.6486643552780151,1.3699513673782349,0.9526287913322449,0.0
18,0.8,0.6789218187332153,1.0137906074523926,1.993496298789978,1.8513789176940918,1.5122958421707153,1.0859431028366089,0.0
19,0.001,0.8397753834724426,1.0608941316604614,1.062516450881958,0.00699835317209363,1.0625051259994507,0.4543091356754303,0.0
19,0.05,0.8397753834724426,0.9802327752113342,1.0847880840301514,0.3254469931125641,1.0602015256881714,0.4361882507801056,0.0
19,0.1,0.8397753834724426,0.9323500990867615,1.1513952016830444,0.5817407965660095,1.074655294418335,0.4533521831035614,0.0
19,0.15,0.8397753834724426,0.8589870929718018,1.2200483083724976,0.8012089133262634,1.0766465663909912,0.45648112893104553,0.0
19,0.2,0.8397753834724426,0.8999291658401489,1.2786273956298828,0.9775080680847168,1.0682319402694702,0.4716699719429016,0.0
19,0.32,0.8397753834724426,0.9543679356575012,1.4674001932144165,1.3633031845092773,1.0983850955963135,0.656305730342865,0.0
19,0.5,0.8397753834724426,1.0917987823486328,1.6801716089248657,1.6172243356704712,1.2143925428390503,0.8044978976249695,0.0
19,0.8,0.8397753834724426,1.1285591125488281,1.852397084236145,1.814292550086975,1.3304901123046875,1.013195276260376,0.0
20,0.001,0.8175612092018127,1.698704719543457,1.7016068696975708,0.006904575973749161,1.7015999555587769,1.362125039100647,0.0
20,0.05,0.8175612092018127,1.5589944124221802,1.7093719244003296,0.3317394554615021,1.6940038204193115,1.3589400053024292,0.0
20,0.1,0.8175612092018127,1.4913781881332397,1.702707052230835,0.5667133927345276,1.6560195684432983,1.325036883354187,0.0
20,0.15,0.8175612092018127,1.3117778301239014,1.7256442308425903,0.8290575742721558,1.6262648105621338,1.3005173206329346,0.0
20,0.2,0.8175612092018127,1.1335896253585815,1.656785249710083,0.9778442978858948,1.5102317333221436,1.1526356935501099,0.0
20,0.32,0.8175612092018127,1.2155250310897827,1.8169000148773193,1.3693513870239258,1.5399256944656372,1.209302306175232,0.0
20,0.5,0.8175612092018127,1.095834493637085,1.7216570377349854,1.6656880378723145,1.2565441131591797,0.8511322736740112,0.0
20,0.8,0.8175612092018127,1.3328381776809692,1.9585427045822144,1.8295161724090576,1.4624545574188232,1.1460243463516235,0.0
21,0.001,0.5599410533905029,0.6281917095184326,0.6304625272750854,0.006371939089149237,0.6304464340209961,0.4025517702102661,0.0
21,0.05,0.5599410533905029,0.5781304240226746,0.6654017567634583,0.2815241515636444,0.6351540088653564,0.42332723736763,0.0
21,0.1,0.5599410533905029,0.5486003756523132,0.7577885389328003,0.5048109292984009,0.6692025661468506,0.47362837195396423,1.0
21,0.15,0.5599410533905029,0.5550660490989685,0.7889812588691711,0.6456731557846069,0.6420277953147888,0.46184173226356506,1.0
21,0.2,0.5599410533905029,0.5958728194236755,0.8538611531257629,0.8084034323692322,0.6282805800437927,0.44074928760528564,0.0
21,0.32,0.5599410533905029,0.623047947883606,1.0320204496383667,1.2208601236343384,0.5490543842315674,0.34393465518951416,0.0
21,0.5,0.5599410533905029,0.6579021215438843,1.241565465927124,1.550999641418457,0.5706589818000793,0.4103963375091553,0.0
21,0.8,0.5599410533905029,0.7737188339233398,1.4304046630859375,1.7479345798492432,0.7347599267959595,0.6602776646614075,0.0
22,0.001,0.5526572465896606,0.9946010708808899,0.9977595210075378,0.006775466725230217,0.997748613357544,0.8495954871177673,0.0
22,0.05,0.5526572465896606,0.8905852437019348,1.0148190259933472,0.3037872016429901,0.9927999973297119,0.8392594456672668,0.0
22,0.1,0.5526572465896606,0.7607908844947815,1.053246259689331,0.5363696217536926,0.9862625598907471,0.8300624489784241,0.0
22,0.15,0.5526572465896606,0.5920507311820984,1.0917174816131592,0.7271319031715393,0.9671716094017029,0.8098809719085693,0.0
