difficulty_tertile,jepa_error,sbit_oracle_error,win_rate,n
easy,0.6213351277744069,0.7651940829613629,0.0,17
medium,0.7701235935091972,0.9078339412808418,12.5,16
hard,1.0210153215071733,0.9758874633732963,52.94117647058824,17
