sigma_test,jepa_error,sbit_oracle_error,sbit_mean_error,diversity,cloud_mean_bias_vs_truth,cloud_mean_bias_vs_jepa,win_rate
0.001,0.8048387026786804,1.1642973220348358,1.1667579090595246,0.007012232979759574,1.1667469763755798,0.8781697863340377,10.0
0.05,0.8048387026786804,1.0547361540794373,1.1841099965572357,0.3232253509759903,1.1611652505397796,0.8687284624576569,12.0
0.1,0.8048387026786804,0.9827251851558685,1.2355249726772308,0.5753407561779023,1.1652319324016571,0.8726470863819122,22.0
0.15,0.8048387026786804,0.9379717934131623,1.287192727327347,0.7548803544044494,1.1690291416645051,0.879545259475708,24.0
0.2,0.8048387026786804,0.8901747715473175,1.336947228908539,0.9249918842315674,1.1631872653961182,0.8792281782627106,24.0
0.32,0.8048387026786804,0.886860591173172,1.5154626989364623,1.309075996875763,1.1903614604473114,0.920891039967537,24.0
0.5,0.8048387026786804,0.9316943526268006,1.734375557899475,1.6525565099716186,1.2748833787441254,1.0437364715337754,16.0
0.8,0.8048387026786804,1.0505829679965972,1.8937827396392821,1.7889915132522582,1.4063404238224029,1.2014102947711944,12.0
